train loss:0.0009910186608370472,evaluation loss:0.004029161541257054
train loss:0.0010792700028105172,evaluation loss:0.009622456251721208
train loss:0.001049914877997556,evaluation loss:0.0036230297933798282
train loss:0.00127274584180365,evaluation loss:0.000348171918206693
train loss:0.000898262809884424,evaluation loss:0.0005115402610196422
train loss:0.000796378933955566,evaluation loss:0.0037032235530205073
train loss:0.0010724142706749263,evaluation loss:0.0064768730468737585
train loss:0.0014550090335736362,evaluation loss:0.0019416145223658532
train loss:0.0008917366440679568,evaluation loss:0.00035877219973675284
train loss:0.0014855315877260486,evaluation loss:0.000382466972223483
train loss:0.0010279212287665966,evaluation loss:0.0003367577791019964
train loss:0.0013126346188073513,evaluation loss:0.0005991407330535973
train loss:0.0008614842811463556,evaluation loss:0.00042778020045564823
train loss:0.0012534492732811486,evaluation loss:0.00033084783838906634
train loss:0.0012849719346074077,evaluation loss:0.00044509587751235814
train loss:0.0010600372557140266,evaluation loss:0.00040648743161000314
train loss:0.0009676785929817318,evaluation loss:0.00033859457519914337
train loss:0.0009008090174271881,evaluation loss:0.00034142663644161076
train loss:0.0009059346125771602,evaluation loss:0.0007953848951729014
train loss:0.0007051376499778902,evaluation loss:0.0024768882411687326
train loss:0.001369818159218994,evaluation loss:0.0007864401559345424
train loss:0.0013274851789901732,evaluation loss:0.00033513006540791443
train loss:0.0007310853246356904,evaluation loss:0.0020772812286547074
train loss:0.0011364351469334603,evaluation loss:0.00032731537454916784
train loss:0.0007377970473802027,evaluation loss:0.0003338230608884866
train loss:0.0007670359391340753,evaluation loss:0.0003562863193413553
train loss:0.0010030104444012978,evaluation loss:0.00036235656201218563
train loss:0.000843129854183644,evaluation loss:0.0007974669628310948
train loss:0.0009514627995182916,evaluation loss:0.00032832574894806993
train loss:0.0006467176786827622,evaluation loss:0.00134324553849486
train loss:0.0021422850538025764,evaluation loss:0.00037400292058009654
train loss:0.0007562408891923649,evaluation loss:0.0003777650446863845
train loss:0.0012298891979298787,evaluation loss:0.0006568436743691564
train loss:0.0008929429301739825,evaluation loss:0.00039094547488881893
train loss:0.0011466307552230623,evaluation loss:0.00035344176527966437
train loss:0.0008390491140744416,evaluation loss:0.0013265513019481052
train loss:0.0008442742899205768,evaluation loss:0.0003470319362046818
train loss:0.0008764232203247957,evaluation loss:0.0003266109585335168
train loss:0.0014713079724363828,evaluation loss:0.00034570733405416834
train loss:0.0010940572339071272,evaluation loss:0.017139771215928096
